"retailer","city","country","latitude","longitude","freq"
"H&M","","Tunisia","41.53436","2.43052",1
"H&M","","Turkey","36.6361","33.43683",1
"H&M","","Turkey","36.81738","34.66623",1
"H&M","","Turkey","36.821833","34.6752792",1
"H&M","","Turkey","37.557878","36.921048",1
"H&M","","Turkey","37.752406","29.11107",1
"H&M","","Turkey","37.7640414","29.2807426",1
"H&M","","Turkey","37.78518","29.07888",1
"H&M","","Turkey","37.79368","28.96448",1
"H&M","","Turkey","37.81489","29.11366",1
"H&M","","Turkey","37.81522","29.24737",1
"H&M","","Turkey","37.8666667","32.4833333",1
"H&M","","Turkey","38.26656","33.99944",1
"H&M","","Turkey","38.29855","27.13966",1
"H&M","","Turkey","38.358128","38.299287",1
"H&M","","Turkey","38.37742","27.10994",1
"H&M","","Turkey","38.38192","27.13651",1
"H&M","","Turkey","38.391113","27.154571",1
"H&M","","Turkey","38.4075","27.19483",1
"H&M","","Turkey","38.42481","27.16768",1
"H&M","","Turkey","38.43306","27.181648",1
"H&M","","Turkey","38.4347559","27.1911736",1
"H&M","","Turkey","38.437985","27.225925",1
"H&M","","Turkey","38.445217","27.185735",1
"H&M","","Turkey","38.45212","27.17527",1
"H&M","","Turkey","38.452653","27.177279",1
"H&M","","Turkey","38.457863","27.097195",2
"H&M","","Turkey","38.45855","27.17955",1
"H&M","","Turkey","38.4598715","27.1732415",1
"H&M","","Turkey","38.4699104","27.1724849",1
"H&M","","Turkey","38.476806","43.383489",1
"H&M","","Turkey","38.478663","27.354139",1
"H&M","","Turkey","38.481979","27.201521",2
"H&M","","Turkey","38.4841","27.14319",1
"H&M","","Turkey","38.4841412","27.0432961",1
"H&M","","Turkey","38.484173","27.039648",1
"H&M","","Turkey","38.486242","27.039904",1
"H&M","","Turkey","38.4901","27.05219",1
"H&M","","Turkey","38.492734","27.035248",1
"H&M","","Turkey","38.496755","27.033966",2
"H&M","","Turkey","38.496767","27.034938",1
"H&M","","Turkey","38.497594","27.042305",1
"H&M","","Turkey","38.50447","27.037985",1
"H&M","","Turkey","38.613232","27.0514501",1
"H&M","","Turkey","38.9732","29.38679",1
"H&M","","Turkey","39.6939","34.60947",1
"H&M","","Turkey","39.72515","36.99065",2
"H&M","","Turkey","39.76859","30.48201",1
"H&M","","Turkey","39.788408","30.493765",1
"H&M","","Turkey","40.2008","29.07067",1
